scraped_name,name,website,industry,squareLogo,overallRating,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating
@ your service,At Your Service Staffing,www.aysstaff.com,Catering & Food Service Contractors,https://media.glassdoor.com/sqll/650740/at-your-service-staffing-squarelogo-1420658142859.png,3.3,3.2,2.9,2.5,2.5,3.3
"1st choice, llc",1st Choice,www.1stchoicegov.com,Consulting,https://media.glassdoor.com/sqll/660174/1st-choice-squarelogo-1442232825592.png,1.8,1.8,1.8,2.1,1.7,2.1
"24 hour fitness, inc.",24 Hour Fitness,www.24hourfitness.com,Sports & Recreation,https://media.glassdoor.com/sqll/8479/24-hour-fitness-squarelogo-1457375004529.png,3.0,3.1,2.8,2.5,3.0,3.0
360 healthcare staffing,360 Healthcare Staffing,www.360healthcarestaffing.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/749830/360-healthcare-staffing-squarelogo-1387396092167.png,3.8,3.9,3.9,4.1,3.5,3.4
3m,3M,www.3m.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/446/3m-squarelogo.png,3.7,3.7,3.1,3.7,3.4,3.5
"3phoenix, inc.",Ultra Electronics,www.ultra-electronics.com,Electrical & Electronic Manufacturing,https://media.glassdoor.com/sqll/16014/ultra-electronics-squarelogo-1413187964261.png,2.9,2.8,2.6,2.8,2.6,3.1
"4m research, inc.",4M Research,www.4mresearch.com,,,4.5,5.0,5.0,4.0,4.0,5.0
56,Department 56,www.department56.com,,,3.6,4.0,1.0,3.0,3.0,4.0
7-eleven,7-Eleven,www.7-eleven.com,Other Retail Stores,https://media.glassdoor.com/sqll/3581/7-eleven-squarelogo.png,3.0,2.7,2.5,2.5,2.5,2.6
804 prospects,804 Prospects,www.804prospects.com,,,2.2,2.8,2.8,2.5,2.8,2.8
84 lumber company,84 Lumber,www.84lumber.com,Home Centers & Hardware Stores,https://media.glassdoor.com/sqll/2696/84-lumber-squarelogo.png,3.5,3.7,3.4,3.2,3.9,2.7
"a & w contractors, inc",A & W Maintenance Contractors,,,,0,0.0,0.0,0.0,0.0,0.0
a m a engineers llc,AMA Consulting Engineers P.C,www.amapc.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/263815/ama-consulting-engineers-p-c-squarelogo-1461759666035.png,4.5,4.0,4.0,3.0,3.0,4.0
a place for mom,A Place for Mom,www.aplaceformom.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/240285/a-place-for-mom-squarelogo-1420659388509.png,3.4,3.5,3.3,3.1,2.8,3.4
a. schulman inc.,A. Schulman,www.aschulman.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/1072/a-schulman-squarelogo.png,2.7,2.7,2.2,3.4,2.8,2.4
a.c. coy company,A.C.Coy Company,www.accoy.com,IT Services,https://media.glassdoor.com/sqll/261175/a-c-coy-company-squarelogo-1447750029211.png,3.6,2.0,2.4,2.4,2.4,2.4
a.c. moore,A.C. Moore,www.acmoore.com,"Department, Clothing, & Shoe Stores",https://media.glassdoor.com/sqll/7081/a-c-moore-squarelogo.png,2.9,2.9,2.6,2.1,2.5,2.6
"a.i. solutions, inc",a i solutions,www.ai-solutions.com,Aerospace & Defense,https://media.glassdoor.com/sqll/110486/a-i-solutions-squarelogo.png,2.5,2.5,2.4,2.6,2.9,3.2
aaa mid-atlantic,AAA Mid-Atlantic,midatlantic.aaa.com,Membership Organizations,https://media.glassdoor.com/sqll/285070/aaa-mid-atlantic-squarelogo.png,3.5,3.5,3.0,3.8,3.2,3.7
aaa motor club,AAA Hoosier Motor Club,www.hoosier.aaa.com,Insurance Carriers,,3.2,3.6,3.2,3.1,2.4,3.6
aaa staffing,AAA Dental Staffing Solutions,www.aaadentalstaffingsolutions.com,Security Services,,5.0,5.0,4.0,4.0,5.0,5.0
aaa tidewater,AAA Mid-Atlantic,midatlantic.aaa.com,Membership Organizations,https://media.glassdoor.com/sqll/285070/aaa-mid-atlantic-squarelogo.png,3.5,3.5,3.0,3.8,3.2,3.7
aajv,APS-Arti Joint Venture,www.aajv.com,IT Services,,4.5,4.1,4.1,4.3,3.8,4.5
aaski technology,AASKI Technology,www.aaski.com,Aerospace & Defense,https://media.glassdoor.com/sqll/768440/aaski-technology-squarelogo-1431683485324.png,3.5,3.6,3.3,3.3,3.1,3.5
"aaski technology, inc.",AASKI Technology,www.aaski.com,Aerospace & Defense,https://media.glassdoor.com/sqll/768440/aaski-technology-squarelogo-1431683485324.png,3.5,3.6,3.3,3.3,3.1,3.5
abas-usa,ABAS-USA,www.abas-usa.com,Logistics & Supply Chain,https://media.glassdoor.com/sqll/289101/abas-usa-squarelogo.png,3.9,4.3,4.5,3.7,3.4,3.3
abaxis,Abaxis,www.abaxis.com,Biotech & Pharmaceuticals,https://media.glassdoor.com/sqll/1340/abaxis-squarelogo-1398102629769.png,2.4,2.8,2.7,2.5,2.5,2.8
abb inc,Abbe,www.abbefamily.org,Health Care Services & Hospitals,,2.9,2.4,2.5,3.2,2.3,2.9
"abb, inc.",Abbe,www.abbefamily.org,Health Care Services & Hospitals,,2.9,2.4,2.5,3.2,2.3,2.9
abbott,Abbott,www.abbott.com,Biotech & Pharmaceuticals,https://media.glassdoor.com/sqll/503114/abbott-squarelogo.png,3.7,3.5,3.3,3.9,3.3,3.4
